PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
36,Bossiella plumosa,,Bossiella plumosa,,yes,24/4/2013,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A88594,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
37,Corallina sp. 4frondescens ,,Clathromorphum reclinatum,,yes- 2 50 ul elutions,4/10/2013,14i14,,,,,,,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A88595,,"Epilithic, -0.5 - 0.0m, down from 4 dynamometer tidepool",,,,,,
38,,psbA failed,Bossiella corymbifera,,yes,24/4/2013,14i14,,,,,,,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A88596,,"Epilithic, -0.5 - 0.0m, down from 4 dynamometer tidepool",,,,,,
39,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A87292,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
40,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A87293,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
41,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A87294,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
42,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A87295,,epilithic below 4 dyno tidep,,,,,,
43,Bossiella californica,,Bossiella californica,,,,,,,,,x (PG),,Coralline,"Pt. Pinos, Pacific Grove, CA",07-Feb-08,,A88597,,"Epilithic, low intertidal, East of point",,,,,,
44,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Pt. Pinos, Pacific Grove, CA",07-Feb-08,,A87296,,"Epilithic, low intertidal, E. side of Point",,,,,,
47,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",01-Jun-08,,A87297,,"Epilithic, subtidal, near Denny wavemeter",,,,,,
48,,did not attempt because we have enough C. cheilosporioides sequences,Calliarthron cheilosporioides,,,,,,,,,,,Coralline,"Hopkins Marine Station, Pacific Grove, CA",01-Jun-08,,A87298,,"Epilithic, subtidal, near Denny wavemeter",,,,,,
49,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",25-Feb-04,,A87299,,"Epilithic, low intertidal, ""Coralline Bench""",,,,,,
50,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-05,,A87300,,"Epilithic, mid intertidal, near ""Coralline bench""",,,,,,
51,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-05,,A87301,,"Epilithic, mid intertidal, near ""Coralline bench""",,,,,,
52,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",26-Jan-05,,A87302,,"Epilithic, mid intertidal, near ""Coralline bench""",,,,,,
53,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",24-Feb-04,,A87303,,"Epilithic, low intertidal, ""Coralline Bench""",,,,,,
54,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",24-Feb-03,,A87304,,"Epilithic, low intertidal, ""Coralline Bench""",,,,,,
55,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-05,,A87305,,"Epilithic, mid intertidal, near ""Coralline bench""",,,,,,
56,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",25-Feb-04,,A87306,,"Epilithic, low intertidal, ""Coralline Bench""",,,,,,
57,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",26-Feb-04,,A87307,,"Epilithic, low intertidal, ""Coralline Bench""",,,,,,
58,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",25-Feb-04,,A87308,,"Epilithic, low intertidal, ""Coralline Bench""",,,,,,
59,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",20-Feb-04,,A87309,,"Epilithic, low intertidal, ""Coralline Bench""",,,,,,
60,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-05,,A87310,,"Epilithic, mid intertidal, near ""Coralline bench""",,,,,,
61,,did not attempt because we have enough C. tuberculosum sequences,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Nov-03,,A87311,,"Epilithic, low intertidal, ""Coralline Bench""",,,,,,
62,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Feb-04,,A87312,,"Epilithic, low intertidal, ""Coralline Bench""",,,,,,
63,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-05,,A87313,,"Epilithic, mid intertidal, near ""Coralline bench""",,,,,,
64,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-05,,A87314,,"Epilithic, mid intertidal, near ""Coralline bench""",,,,,,
65,Bossiella frondifera,,Bossiella frondifera,,,,,,,,,x (PG),,Coralline,"Harling Pt, Victoria, BC",13-Apr-09,,A88598,,"Epilithic, low, under Hedophyllum",,,,,,
66,,psbA failed,Cheilosporum sagittatum,,yes- 2 50ul elutions,4/10/2013,14i14,,,,,,,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-09,,A88599,,"Epilithic, subtidal",,,,,,
67,,psbA failed,Jania verrucosa,,yes- 2 50ul elutions (very little sample),4/10/2013,14i14,,,,,,,Coralline,"Point Lonsdale by lighthouse, AUS",21-Jan-09,,A88600,,"Epilithic, high intertidal tidepool",,,,,,
68,,psbA failed,Haliptilon roseum,,yes- 2 50ul elutions,4/10/2013,14i14,,,,,,,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-09,,A88601,,"Epilithic, subtidal",,,,,,
69,Arthrocardia sp.,match to GWS022473Janisp1VIC_Arthrocardia - no forward seq,Arthrocardia flabellata (?),,yes- 2 50ul elutions (very little sample),4/10/2013,14i14,,,,,,,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-09,,A88602,,"Epilithic, tidepool",,,,,,
70,GWS Amphsp1TAS,match to GWS016546Amphsp1TAS,Amphiroa anceps,,yes,4/16/2013,14i14,X (July 2014) CJ,,,,,,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-09,,A88603,,"Epilithic, subtidal",,,,,,
71,,messy sequence. gave up,Haliptilon roseum,,yes,4/16/2013,14i14,,,,,,,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-09,,A88604,,"Epilithic, subtidal",,,,,,
72,,psbA failed; 3'end rbcL success,Jania fastigiata,,yes,4/16/2013,14i14,,,,,,,Coralline,"Queenscliff, AUS",17-Jan-09,,A88605,,Drift on Sargassum,,,,,,
73,,psbA failed,Corallina officinalis,,yes,3/18/2013,14i14,,,,,,,Coralline,"Point Lonsdale by lighthouse, AUS",21-Jan-09,voucher is missing,A88606,,not noted in LYB,,,,,,
76,Haliptilon roseum,rbcL,Haliptilon roseum,,yes,5/4/2009,,,,,,yes,,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-09,,,Y,epiphytic on Amphibolous - collected by snorkel 1-2m shallow subtidal,,,,,,
78,Hydrolithon cymodoceae,rbcL,Lithophyllum?  Fosliella?,,yes,5/11/2009,,,,,,yes,,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-09,,,Y,epiphytic on Ampibolous - collected by snorkel 1-2m shallow subtidal,,,,,,
79,,psbA failed,Melobesia mediocris,,yes- very little sample,4/17/2013,14i14,,,,,,,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,,A88607,,"On Phyllospadix, low intertidal",,,,,,
80,,messy sequence. gave up,Bossiella frondifera,,yes,4/16/2013,14i14,,,,,,,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,,A88608,,Under Phyllospadix,,,,,,
81,Neopolyporolithon reclinatum,,Clathromorphum reclinatum,,,,,,,,,x (PG),,Coralline,"Harling Pt, Victoria, BC",25-Apr-09,,A88609,,"On Bossiella frondifera, low intertidal",,,,,,
82,Bossiella frondescens,,Bossiella frondifera,,yes,4/16/2013,,,,,,x (PG),,Coralline,"Harling Pt, Victoria, BC",25-Apr-09,,"A88610",,"Low intertidal, also Clathromorphum and Corallina",,,,,,
83,,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,,yes,4/16/2013,,,,,,,,Coralline,"Harling Pt, Victoria, BC",25-Apr-09,,A88611,,"Low intertidal, also Clathromorphum and Corallina",,,,,,
84,Bossiella reptans,,Bossiella sp.,,,,,,,,,x (PG),,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,small and creeping,A88612,,Under Phyllospadix,,,,,,
85,Corallina officinalis var. chilensis ,,Corallina officinalis,,,,,,,,,x (PG),,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,growing with tunicate,A88613,,Under Phyllospadix,,,,,,
86,,"messy sequence, gave up",Clathromorphum reclinatum,,yes,4/16/2013,14i14,,,,,,,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,,A88614,,On Corallina officinalis,,,,,,
87,Neopolyporolithon reclinatum,,Mesophyllum conchatum,,,,,,,,,x (PG),,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,,A88615,,On Corallina officinalis under Phyllospadix,,,,,,
88,Mesophyllum vancouveriense sp. 2,match to Sandra's CO2_Mesophyllum_vancouveriense_sp._2,Mesophyllum vancouveriense,,yes,4/16/2013,14i14,X (July 2014) CJ,,,,,,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,,A88616,,"On Phyllospdix root, low intertidal",,,,,,
89,Neopolyporolithon reclinatum,,Clathromorphum reclinatum,,,,,,,,,x (PG),,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,,A88617,,"On Bossiella frondifera, low intertidal, waist-high boulders",,,,,,
90,Bossiella frondifera,,Bossiella frondifera,,,,,,,,,x (PG),,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,,A88618,,"Epilithic, waist-high boulders",,,,,,
91,Mesophyllum vancouveriense,,Lithothamnion phymatodeum,,,,,,,,,x (PG),,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-09,voucher is missing, A88619,,"Epilithic, under Phyllospadix",,,,,,
92,,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,,yes,24/4/2013,,,,,,,,Coralline,"Harling Pt, Victoria, BC",25-Apr-09,, A88620,,"Epilithic, mid-intertidal",,,,,,
93,Bossiella frondescens,#NAME?,Corallina frondescens,,yes,4/17/2013,14i14,,,,,,,Coralline,"Partridge Pt, Ebey State Park, Whidbey Island, WA",09-May-09,"etiolated tyes, lateral comaptados collected with lindstorm", A88621,,"On boulder, mid-intertidal",,,,,,
94,Bossiella frondifera,,Bossiella frondifera,,,,,,,,,x (PG),,Coralline,"Partridge Pt, Ebey State Park, Whidbey Island, WA",09-May-09,"larger than PTM 93, central axis packed with concepticles", A88622,,"On boulder, low intertidal",,,,,,
95,Bossiella frondescens,#NAME?,Corallina frondescens,,yes- very little sample,4/17/2013,14i14,,,,,x (PG),,Coralline,"Partridge Pt, Ebey State Park, Whidbey Island, WA",09-May-09,smaller intergeniuvla then PTM94, A88623,,"Upper mid, mid intertidal on boulders",,,,,,
96,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Partridge Pt, Ebey State Park, Whidbey Island, WA",09-May-09,"more planar, less bushy", A88624,,"Lower mid-intertidal, on boulders",,,,,,
97,,,Neorhodomela oregona,,,,,,,,,,,,"Kyuquot, Walters Island",26-May-09,,,Y,"High intertidal, in tidepool, shaded",,,,,,
98,,,Mastocarpus papillatus,,,,,,,,,,,,"Kyuquot, Walters Island",26-May-09,location rich with tannins in tidepool,,Y,mid intertidal,,,,,,
99,,,,,,,,,,,,,,,,,Not in the LYB,,,not noted in LYB,,,,,,
100,,no genetic sample taken,Neoptilota hypnoides,,,,,,,,,,,,"Kyuquot, Site 1, BC",26-May-09,found under Phyllo Sp. Epilithic,,Y,vertical wall,,,,,,
101,,no genetic sample taken,Fauchea laciniata,,,,,,,,,,,,"Kyuquot, Site 1, BC",26-May-09,found under Phyllo Sp. Epilithic,,Y,vertical wall,,,,,,
102,,no genetic sample taken,Polyneura latissima,,,,,,,,,,,,"Kyuquot, Site 1, BC",26-May-09,found under Phyllo Sp. Epilithic,,Y,vertical wall,,,,,,
103,,no genetic sample taken,Opuntiella californica,,,,,,,,,,,,"Kyuquot, Site 1, BC",26-May-09,found under Phyllo Sp. Epilithic,,Y,vertical wall,,,,,,
104,,psbA failed,Bossiella gardneri,,yes,4/17/2013,14i14,,,,,,,Coralline,"Kyuquot, Site 1, BC",26-May-09,, A88631,,low intertidal,,,,,,
105,Bossiella manzae,rbcL,Bossiella plumosa,,yes,24/4/2013,14i14,X (July 2014) CJ,,,,,,Coralline,"Kyuquot, Site 1, BC",26-May-09,, A88632,,"lower mid intertidal, under Hedophyllum",,,,,,
106,Bossiella californica,,Bossiella chilensis,,,,,,,,,x (PG),,Coralline,"Kyuquot, Site 1, BC",26-May-09,, A88633,,lower mid intertidal,,,,,,
107,Chiharaea americana f. bodegensis,,Chiharaea bodegensis,,,,,,,,,x (PG),,Coralline,"Kyuquot, Site 1, BC",26-May-09,, A88634,,"low intertidal, under Phyllospadix",,,,,,
108,Bossiella reptans,,Bossiella sp.,,,,,,,,,x (PG),,Coralline,"Kyuquot, Site 1, BC",26-May-09,creeping caespitose like B.schmittii??, A88635,,"low intertidal, under Phyllospadix",,,,,,
109,Corallina sp. 1frondescens,#NAME?,Corallina var. officinalis,,yes,4/17/2013,14i14,,,,,,,Coralline,"Kyuquot, Site 1, BC",26-May-09,, A88636,,"Mid intertidal tidepool, under Phyllospadix",,,,,,
110,Corallina officinalis var. chilensis ,,Corallina sp.,,,,,,,,,x (PG),,Coralline,"Kyuquot, Site 1, BC",26-May-09,, A88637,,"lower mid intertidal, under Hedophyllum",,,,,,
111,Corallina officinalis var. chilensis ,,Corallina sp.,,,,,,,,,x (PG),,Coralline,"Kyuquot, Site 1",26-May-09,, A88638,,"lower mid intertidal, under Hedophyllum, same location as -110",,,,,,
112,Bossiella californica,,Bossiella californica (?),,,,,,,,,x (PG),,Coralline,"Kyuquot, Site 1",26-May-09,"beefy like calliathron, but loaded with concepticles, dorsi-ventral", A88639,,low intertidal under Pleurophycus and Egregia,,,,,,
113,Bossiella frondescens,,Corallina frondescens,,yes,4/17/2013,,,,,,x (PG),,Coralline,"Kyuquot, Site 4, BC",26-May-09,teretapices in some places, A88640,,"mid intertidal, under Hedophyllum",,,,,,
114,,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,,yes,24/4/2013,,,,,,,,Coralline,"Kyuquot, Site 3, BC",26-May-09,broad and bushy, A88641,,"mid intertidal, under Hedophyllum",,,,,,
115,,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,,yes,24/4/2013,,,,,,,,Coralline,"Kyuquot, Site 3, BC",26-May-09,"slender, less branched in a tidepool", A88642,,"high intertidal, tidepool",,,,,,
116,Mesophyllum conchatum,"psbA failed, Paul sequenced rbcL",Clathromorphum parcum,,,,14i14,,,,,,,Coralline,"Kyuquot, Site 2, BC",26-May-09,currled over calliarthron, A88643,,low intertidal on Calliarthron tuberculosum,,,,,,
117,Mesophyllum conchatum,,Clathromorphum parcum (?),,,,,,,,,x (PG),,Coralline,"Kyuquot, Site 2, BC",26-May-09,"not curved, less disk shaped, but stalk less", A88644,,low intertidal on Calliarthron tuberculosum,,,,,,
118,Bossiella frondifera,,Bossiella frondifera,,,,,,,,,x (PG),,Coralline,"Kyoquot, Island across 100 m channel from Grassy Island, BC",27-May-09,"", A88645,,lower mid intertidal,,,,,,
119,Corallina officinalis var. chilensis ,,Corallina officinalis,,,,,,,,,x (PG),,Coralline,"Kyoquot, Island across 100 m channel from Grassy Island, BC",27-May-09,"", A88646,,lower mid intertidal,,,,,,
120,Bossiella frondifera,,Bossiella frondifera [initially identified as Bossiella plumosa],,,,,,,,,x (PG),,Coralline,"Kyoquot, Island across 100 m channel from Grassy Island, BC",27-May-09,"not dense short determinant branching ""chips""", A88647,,"upper low intertidal, above Phyllospadix",,,,,,
121,Chiharaea americana f. bodegensis,,Chiharaea bodegensis,,,,,,,,,x (PG),,Coralline,"Kyoquot, Island across 100 m channel from Grassy Island, BC",27-May-09,"", A88648,,"very low intertidal, under Phyllospadix",,,,,,
122,,did not attempt because we have enough C. silvae sequences,Chiharaea sp.,,,,,,,,,,,Coralline,"Kyoquot, Island across 100 m channel from Grassy Island, BC",27-May-09,"clustered uprights, no flower like founds", A88649,,"low intertidal, under Phyllospadix and Egregia, 1m higher than -121",,,,,,
123,Pseudolithophyllum muricatum spp.,"paul rbcL match, said he will generate psbA",Lithophyllum sp.,,,,,,,,,x(pg),,Coralline,"Kyoquot, Island across 100 m channel from Grassy Island, BC",27-May-09,smoth pink crust, A88650,,low under Phyllospadix competing with -121,,,,,,
124,,,Mazzaella sanguinea,,,,,,,,,,,,"Kyoquot, Island across 100 m channel from Grassy Island, BC",27-May-09,"lone blade, thick, not iridescent, brown red",,Y,"low intertidal, near Phyllospadix",,,,,,
125,,,Opuntiella californica,,,,,,,,,,,,"Kyoquot, Island across 100 m channel from Grassy Island, BC",27-May-09,beautiful specimen!,,Y,subtidal ~7m coll:RLGM,,,,,,
126,,,Mazzaella phyllocarpa,,,,,,,,,,,,"Kyuquot, Site 1, BC",29-May-09,,,Y,lower intertidal with hedophyllum,,,,,,
127,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Kyuquot, Site 1, BC",29-May-09,"broad, foliose morph", A88654,,lower mid tidepool,,,,,,
